sample_category,group_id,target_customer_tweet_id,prior_context_snippet,target_customer_text,language_state,language_heuristic_score,detection_reason,human_language_label,human_interpretability_label,human_notes
accepted,857985,857985,,.@[CUSTOMER_HANDLE] do you care to explain why AM to PM by Christina Milian is not available on US Spotify?!?,english,1.0,,,,
accepted,633732,633732,,@[CUSTOMER_HANDLE] @[CUSTOMER_HANDLE] @[CUSTOMER_HANDLE] @SpotifyCares Seems like you can't start Spotify music/playlists with new Sonos voice control.  What gives?,english,1.0,,,,
accepted,1975342,1975342,,why is my discover weekly playlist full of memes? @[CUSTOMER_HANDLE],english,1.0,,,,
accepted,2032680,2032680,,Sort out your Chrome web app @[CUSTOMER_HANDLE] I'm trying to get through my working day here 😢 👍 #glitchy,english,1.0,,,,
accepted,1477056,1477056,,Thanks. Try harder plz😉 https://t.co/Kf9KSF50hJ,english,0.75,,,,
accepted,262277,262277,,"Hey @[CUSTOMER_HANDLE], what's up with me having to update my payment info every month? It's getting annoying.",english,1.0,,,,
accepted,1102158,1102158,,"@[CUSTOMER_HANDLE] will you please make a ""most played"" filter option? PLEASEEEE.",english,0.84,,,,
accepted,932757,932757,,@[CUSTOMER_HANDLE] @[CUSTOMER_HANDLE] are you going to launch your services in INDIA?,english,1.0,,,,
accepted,2279791,2279791,,@SpotifyCares so I went to try out the student discount for Hulu but they charged me even thought I didn’t sign up for it after all what’s going on??,english,1.0,,,,
accepted,2653105,2653105,,"@[CUSTOMER_HANDLE] hi, could you pls help me? I had a familiar account and know is not working. I tried to got it back but I couldn’t",english,1.0,,,,
rejected,27005,27001,[Customer]: @[CUSTOMER_HANDLE] ต้องการยกเลิกบริการนี่ต้องทำยังไงคะ ? | [Customer]: @[CUSTOMER_HANDLE] วิธีการยกเลิก ทางนี้เลยนะคะ https://t.co/rVHh3X6,@[CUSTOMER_HANDLE] @SpotifyCares ขอบคุณค่ะ ^^,non_english,0.95,non_latin_script,,,
rejected,49242,49242,,@[CUSTOMER_HANDLE] yo,non_english,0.65,non_english_stopwords,,,
rejected,51761,51761,,"@[CUSTOMER_HANDLE] Bonjour, je ne reçois plus aucun mail de Spotify car je n'ai pas de réponse du support, comment vous contacter autrement?",non_english,1.0,non_english_stopwords,,,
rejected,61163,61163,,@[CUSTOMER_HANDLE] any chance for more songs from bolbbalgan4/red cheek puberty/ 볼빨간 사춘기? would love their full album red planet,non_english,0.95,non_latin_script,,,
rejected,74908,74908,,@[CUSTOMER_HANDLE] Min musik stannar rätt ofta för att nån annan lyssnar på mitt konto. ”Spotiamb 0.2” nånting. Googlade och fler hade samma problem.,non_english,0.65,non_english_stopwords,,,
rejected,77707,77706,"[Customer]: Spotify ให้คุณฟังได้ทั้งเพลงโปรดพร้อมค้นพบเพลงใหม่ 
ฟรีบนทุกอุปกรณ์ https://t.co/XkjOEF2KRg","@[CUSTOMER_HANDLE] )???66.0,0?

ฝ

ช

ฝล",non_english,0.95,non_latin_script,,,
rejected,77715,77715,,"@SpotifyCares salve, come posso contattarvi per ricevere assistenza ?",non_english,0.65,non_english_stopwords,,,
rejected,83654,83654,,@[CUSTOMER_HANDLE] down auf iOS?,non_english,0.65,non_english_stopwords,,,
rejected,100149,100149,,@[CUSTOMER_HANDLE] des soucis avec la connection @[CUSTOMER_HANDLE] ? Impossible de me reconnecter à ma Play:1 Cc @SpotifyCares @[CUSTOMER_HANDLE],non_english,1.0,non_english_stopwords,,,
rejected,100161,100161,,"Hello @SpotifyCares , J'ai parcouru vos rubriques d'aide en long en large et en travers mais aucune n'est intitulée ""cela fait deux mois que nous rencontrons des problèmes et que nous vous suggérons de réessayer plus tard"".",non_english,1.0,non_english_stopwords,,,
uncertain,2812,2837,[Customer]: Unli skips. Unli fun. 3 months of Premium for ₱9. https://t.co/Q2YbLhp7U6,@[CUSTOMER_HANDLE] Pano kapag nakapostpaid hahha,uncertain,0.15,unrecognized_tokens_insufficient_evidence,,,
uncertain,11712,11712,,@[CUSTOMER_HANDLE] halo skrg kok udh gak ada pilihan bayar pakai pulsa ya untuk berlangganannya?,uncertain,0.15,unrecognized_tokens_insufficient_evidence,,,
uncertain,18469,18469,,@spotifycares wheres twicetagram by twice,uncertain,0.15,unrecognized_tokens_insufficient_evidence,,,
uncertain,20794,20794,,@[CUSTOMER_HANDLE] 2 hari yang lalu saya mendapat email tsb padahal data alamat tinggal tidak ada yang diubah mohon bantuannya https://t.co/VbB95ZFGDB,uncertain,0.5,technical_terms_no_stopwords,,,
uncertain,37699,37699,,@[CUSTOMER_HANDLE] sekarang ga bisa pembayaran premium dengan pulsa tri?,uncertain,0.45,single_stopword_low_ratio,,,
uncertain,38317,38317,,@SpotifyCares check dm pls,uncertain,0.15,unrecognized_tokens_insufficient_evidence,,,
uncertain,44402,44402,,"Hai @[CUSTOMER_HANDLE], kok gagal terus yaa? Dibilangnya pulsa tidak mencukupi, padahal pulsa lebih dari cukup https://t.co/PnP3gHQRCJ",uncertain,0.15,unrecognized_tokens_insufficient_evidence,,,
uncertain,45302,45302,,@[CUSTOMER_HANDLE],uncertain,0.0,empty_text,,,
uncertain,58941,58935,"[Customer]: Hey, @[CUSTOMER_HANDLE]  how do I report a bug?
Banner ads with videos on your web player cause playback issues.",@[CUSTOMER_HANDLE] @SpotifyCares,uncertain,0.0,empty_text,,,
uncertain,66029,66029,,@[CUSTOMER_HANDLE] saya mendapat promo 3 bulan cuma Rp 4990 itu benar ga? Trs kl udh 3 bulan selesai bayarnya kembali ke awal?,uncertain,0.15,unrecognized_tokens_insufficient_evidence,,,
