example_id,intent,handling_decision,handling_reason,required_reply_elements,prohibited_claims_or_actions,needs_clarification,annotation_confidence,annotator_id,notes
SpotifyCares:100132:100132:100131,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1013192:1013190:1013191,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:1072986:1072984:1072983,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,Jishnu Roy,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:110065:110072:2750604,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:1201589:1201588:1201586,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:132594:132594:132592,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: challenge] Content licensing or availability question.
SpotifyCares:1330169:1330168:1330167,platform_and_regional,auto_handle,regional_or_device_compatibility_guidance,explain platform/regional compatibility; direct to official newsroom or partner setup guide,do not promise unannounced regional launch dates or unreleased integrations,False,high,Jishnu Roy,[Subset: challenge] Platform compatibility or regional availability inquiry.
SpotifyCares:133944:133952:2756271,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,Jishnu Roy,"[Subset: challenge] Billing / payment method inquiry. | Non English language, only english language should be filtered"
SpotifyCares:1347203:1347203:1347202,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1393600:1393599:1393598,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:1458250:1458245:1458246,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: challenge] Product feedback / feature suggestion or UX complaint.
