review_id,example_id,blinded_system_id,customer_message,retrieved_evidence,predicted_reply,relevance_human,grounding_human,usefulness_human,tone_human,critical_error_human,annotator_id,notes
REV-001,SpotifyCares:1776708:1776708:1776706,System_Alpha,"Hey @[CUSTOMER_HANDLE] , my app isn't working on the iPhone. I have tried everything, is something going on? https://t.co/33vQVXG6Ib",No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,1,0,1,0,Roy1,
REV-002,SpotifyCares:1776708:1776708:1776706,System_Beta,"Hey @[CUSTOMER_HANDLE] , my app isn't working on the iPhone. I have tried everything, is something going on? https://t.co/33vQVXG6Ib",No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"We recommend performing a clean reinstall of the app and clearing cache. If playback issues persist, please reply with your device model and OS version!",2,2,2,1,0,Roy1,
REV-003,SpotifyCares:1776708:1776708:1776706,System_Gamma,"Hey @[CUSTOMER_HANDLE] , my app isn't working on the iPhone. I have tried everything, is something going on? https://t.co/33vQVXG6Ib","[Evidence Case 1: SpotifyCares:2835024:2835024:2835022]
Historical Customer Inquiry: ""@[CUSTOMER_HANDLE] my app is not working https://t.co/RmnssJocOG""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey [CUSTOMER_NAME], help's here. Can you tell us more about what's happening? Also, what device, operating system, and Spotify version are you using? We'll see what we can suggest /AY""","Hey , help's here. Can you tell us more about what's happening? Also, what device, operating system, and Spotify version are you using? We'll see what we can suggest",1,2,1,1,0,Roy2,
REV-004,SpotifyCares:1209357:1209357:1209356,System_Alpha,@SpotifyCares I need resolution to this absurd login is[CUSTOMER_USERNAME] immediately please your Customer Care is very lacking.,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,1,0,1,0,roy1,
REV-005,SpotifyCares:1209357:1209357:1209356,System_Beta,@SpotifyCares I need resolution to this absurd login is[CUSTOMER_USERNAME] immediately please your Customer Care is very lacking.,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"If you're having trouble logging in or suspect your account was compromised, please reset your password at spotify.com/reset or contact support for account recovery.",1,1,1,1,0,roy2,
REV-006,SpotifyCares:1209357:1209357:1209356,System_Gamma,@SpotifyCares I need resolution to this absurd login is[CUSTOMER_USERNAME] immediately please your Customer Care is very lacking.,"[Evidence Case 1: SpotifyCares:1641053:1641053:1641052]
Historical Customer Inquiry: ""@[CUSTOMER_HANDLE] You guys gotta fix the login is[CUSTOMER_USERNAME] in Toronto""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey [CUSTOMER_NAME]! What exactly is going on with your Spotify? We'll do our best to help you out /BH""",Hey ! What exactly is going on with your Spotify? We'll do our best to help you out,2,2,1,2,0,roy3,
REV-007,SpotifyCares:2139018:2139018:2139017,System_Alpha,"Dear @[CUSTOMER_HANDLE] - I can only hit ""thumbs down"" so many times. How can I add a #NeverPlayEddieMoney rule?",No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,2,0,1,0,roy4,
REV-008,SpotifyCares:2139018:2139018:2139017,System_Beta,"Dear @[CUSTOMER_HANDLE] - I can only hit ""thumbs down"" so many times. How can I add a #NeverPlayEddieMoney rule?",No evidence was used (deterministic heuristic rules; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! Let us know how we can assist with your Spotify account or music playback.,0,1,1,2,0,roy5,
REV-009,SpotifyCares:2139018:2139018:2139017,System_Gamma,"Dear @[CUSTOMER_HANDLE] - I can only hit ""thumbs down"" so many times. How can I add a #NeverPlayEddieMoney rule?","[Evidence Case 1: SpotifyCares:2000815:2000815:2000814]
Historical Customer Inquiry: ""Dear @[CUSTOMER_HANDLE] please make a thumbs down button""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey! You should be able to thumbs down a track in a Radio station. Just to check, is your app is misbehaving? We'll wait for your reply /LP""","Hey! You should be able to thumbs down a track in a Radio station. Just to check, is your app is misbehaving? We'll wait for your reply",1,2,2,1,0,roy6,
REV-010,SpotifyCares:2039869:2039869:2039868,System_Alpha,@[CUSTOMER_HANDLE] Hey i got an email about the majid jordan presale ending at 11pm est but there's no place to put the access code on the website :(,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,2,1,2,0,roy7,
