review_id,example_id,blinded_system_id,system_id
REV-001,SpotifyCares:1776708:1776708:1776706,System_Alpha,baseline_0_majority
REV-002,SpotifyCares:1776708:1776708:1776706,System_Beta,baseline_1_rules
REV-003,SpotifyCares:1776708:1776708:1776706,System_Gamma,main_agent_v1
REV-004,SpotifyCares:1209357:1209357:1209356,System_Alpha,baseline_0_majority
REV-005,SpotifyCares:1209357:1209357:1209356,System_Beta,baseline_1_rules
REV-006,SpotifyCares:1209357:1209357:1209356,System_Gamma,main_agent_v1
REV-007,SpotifyCares:2139018:2139018:2139017,System_Alpha,baseline_0_majority
REV-008,SpotifyCares:2139018:2139018:2139017,System_Beta,baseline_1_rules
REV-009,SpotifyCares:2139018:2139018:2139017,System_Gamma,main_agent_v1
REV-010,SpotifyCares:2039869:2039869:2039868,System_Alpha,baseline_0_majority
REV-011,SpotifyCares:2039869:2039869:2039868,System_Beta,baseline_1_rules
REV-012,SpotifyCares:2039869:2039869:2039868,System_Gamma,main_agent_v1
REV-013,SpotifyCares:1993423:1993423:1993422,System_Alpha,baseline_0_majority
REV-014,SpotifyCares:1993423:1993423:1993422,System_Beta,baseline_1_rules
REV-015,SpotifyCares:1993423:1993423:1993422,System_Gamma,main_agent_v1
REV-016,SpotifyCares:1816107:1816107:1816105,System_Alpha,baseline_0_majority
REV-017,SpotifyCares:1816107:1816107:1816105,System_Beta,baseline_1_rules
REV-018,SpotifyCares:1816107:1816107:1816105,System_Gamma,main_agent_v1
REV-019,SpotifyCares:1681220:1681220:1681219,System_Alpha,baseline_0_majority
REV-020,SpotifyCares:1681220:1681220:1681219,System_Beta,baseline_1_rules
REV-021,SpotifyCares:1681220:1681220:1681219,System_Gamma,main_agent_v1
REV-022,SpotifyCares:892442:892441:892439,System_Alpha,baseline_0_majority
REV-023,SpotifyCares:892442:892441:892439,System_Beta,baseline_1_rules
REV-024,SpotifyCares:892442:892441:892439,System_Gamma,main_agent_v1
REV-025,SpotifyCares:1614273:1614273:1614271,System_Alpha,baseline_0_majority
